village_bps_code,sanitation,popdens
3201120006,not available,38227.2261530434
3201120007,not available,4158.0771576972
3201120008,not available,4756.96765795344
3201120009,not available,5700.59044209761
3201120010,not available,7000.68807716895
3201120011,not available,4494.09757914323
3201120012,not available,3051.69140520633
3201130001,not available,2214.02242215668
3201130002,available,18861.0047786458
3201130003,not available,2087.70619842324
3201130004,available,23256.3180535714
3201130005,not available,4676.64272540498
3201130006,not available,3657.12028048321
3201130007,not available,4470.40856528995
3201130008,not available,3272.44179368601
3201130009,not available,70576.102134466
3201130010,not available,7909.94944877595
3201130011,not available,8004.76302839983
3201130012,not available,104878.022672289
3201130013,not available,9260.18724775353
3201140001,not available,26337.4177081791
3201140002,not available,10349.7517122321
3201140003,not available,588767.545659999
3201140004,not available,3804.04916220051
3201140005,not available,4445.06753085962
3201140006,not available,5037.6524126258
3201140007,not available,3700.21063367701
3201140008,not available,47758.8832004576
3201140009,not available,6018.44588414603
3201150001,not available,62963.2130205479
3201150002,not available,4188.5147684922
3201150003,not available,12500.1269248657
3201150004,not available,7218.49913971072
3201150005,not available,7392.14289514742
3201150006,not available,8428.45741274697
3201150007,not available,10688.3954442941
3201150008,not available,8705.26443261523
3201150009,not available,55443.7418124378
3201150010,not available,7453.87699102487
3201160011,not available,10083.3587431665
3201160012,not available,992.50822812411
3201160013,available,6388.97581964286
3201160014,not available,860.06495261077
3201160015,not available,1342.41339109897
3201160016,not available,1723.23221014278
3201160017,not available,2280.70305566412
3201160018,not available,811.27093882858
3201160019,not available,1722.60460876215
3201160020,not available,1652.65382235278
3201161001,not available,4783.65798715857
3201161002,not available,732.75899275159
3201161003,not available,818.37155597982
3201161004,not available,4872.78597528187
3201161005,available,25043.7409970063
3201161006,not available,5107.17669290346
3201161007,not available,19103.2252432892
3201161008,not available,1078.78256719151
3201161009,not available,82099.9300754966
3201161010,not available,11982.6821482317
3201170001,not available,6614.70723151892
3201170002,not available,6499.54297295694
3201170003,not available,4859.23602695031
3201170004,not available,17550.5230171519
3201170005,not available,3913.42272540846
3201170006,available,20893.1250075166
3201170007,not available,1461.22267059708
3201170008,not available,1848.79789769674
3201170009,not available,2609.56082737734
3201170010,not available,3280.27632582688
3201170011,not available,5659.97530082084
3201170012,not available,3008.27306796618
3201170013,not available,1120.27555501708
3201170014,not available,1349.28948387529
3201180010,not available,5459.95023118606
3201180011,not available,4769.22931774328
3201180012,not available,4086.36902404844
3201180013,not available,4599.62362197133
3201180014,not available,3325.00764400309
3201180015,not available,5528.08632651982
3201180016,available,3481.70573794553
3201180017,not available,5714.60609024027
3201180018,not available,8119.71958493894
3201180019,not available,9282.38500756455
3201180020,not available,9281.03472948443
3201180021,not available,8022.96929978794
3201181001,not available,4469.90329062897
3201181002,not available,3259.54952343106
3201181003,not available,24497.6706061538
3201181004,not available,10156.5517897671
3201181005,not available,3802.62349706581
3201181006,not available,185836.44713916
3201181007,not available,4162.6240489354
3201181008,not available,2681.46853703455
3201181009,not available,4051.96955107488
3201190001,not available,4910.46012914941
3201190002,available,4811.74096636333
3201190003,not available,6519.65615917848
3201190004,not available,3654.41441288314
3201190005,not available,7270.32820794217
3201190006,not available,6161.11979789301
3201190007,not available,47071.0419040502
3201190008,not available,6677.92263012745
3201190009,not available,5513.22474751202
3201190010,not available,8342.81036950518
3201200001,available,904.67680548476994
3201200002,available,7815.34401350762
3201200003,available,12487.647344505
3201200004,available,5374.65578230994
3201200005,available,3600.23299795415
3201200006,available,6212.99256103481
3201200007,available,5988.19674490418
3201200008,available,6394.03540313659
3201200009,available,78275.5548851851
3201200010,available,7826.06560501711
3201200011,available,4304.36286530815
3201200012,available,45936.1345520833
3201200013,available,6793.59907819972
3201200014,available,6194.75339622861
3201210001,available,9446.42922884383
3201210002,available,7981.37181153493
3201210003,not available,6494.63525790028
3201210004,available,4503.78579669353
3201210005,not available,5317.90041242203
3201210006,available,6164.4465250777
3201210007,not available,5800.54594783016
3201210008,not available,7130.86260199734
3201210009,available,6872.65265612382
3201210010,available,12206.3310374544
3201210011,not available,6964.08032002147
3201210012,available,5992.26805507392
3201210013,available,NA
3201220002,not available,2963.05937989709
3201220003,available,7285.65957268542
3201220004,not available,10430.7606705388
3201220005,not available,8730.63401041883
3201220011,not available,6005.45707591311
3201220012,not available,7384.57167680623
3201220013,not available,10526.6498725354
3201220014,not available,11988.0101488856
3201220015,not available,9670.10335783602
3201221001,not available,53198.1246649438
3201221002,not available,5942.12105482619
3201221003,not available,557209.605211999
3201221004,not available,5599.50231188467
3201221005,not available,6638.29590675924
3201221006,not available,6687.87802426268
3201221007,not available,10251.5562615546
3201230006,available,6068.27899822086
3201230007,not available,6056.09152213333
3201230008,not available,7765.22870184082
3201230009,available,50784.1644083892
3201230010,not available,3475.02833327882
3201230011,not available,3862.98401451334
3201230013,not available,5003.67739667169
3201230014,not available,4632.06755265529
3201230015,not available,5731.11245510808
3201231001,not available,2680.50926193548
3201231002,not available,3723.32046707281
3201231003,not available,4218.4224150706405
3201231004,not available,4795.32753089676
3201231005,not available,2796.17639835315
3201231006,not available,2070.46955634009
3201231007,available,2099.16395688278
3201240009,not available,2989.06485464821
3201240010,not available,6707.54594140537
3201240011,not available,7371.32885589255
3201240012,not available,10165.7308470105
3201240013,available,5132.27558669569
3201240014,not available,6354.43013485305
3201240015,available,6746.33947887067
3201240016,not available,7559.9880938253
3201240017,not available,5253.08606084802
3201241001,not available,30565.5120396887
3201241002,not available,3361.11958105551
3201241003,not available,5286.36443369207
3201241004,not available,3557.52273555416
3201241005,not available,2493.98827113116
3201241006,not available,5119.00671643519
3201241007,not available,6681.04244510166
3201241008,not available,4767.66528425501
3201241009,not available,35044.3112147239
3201241010,available,2326.70652218668
3201250001,not available,1073.49584630379
3201250002,not available,3585.87909244484
3201250003,not available,4877.48588834407
3201250004,not available,4205.4824690007
3201250005,not available,52585.1072167883
3201250006,not available,5255.92107141042
3201250007,not available,41177.7336737991
3201250008,not available,3388.93795835303
3201250009,not available,3868.6029681985
3201250010,not available,3515.30139336558
3201260001,not available,472584.083316666
3201260002,not available,713.22002805996
3201260003,not available,1068.99897127837
3201260004,not available,9189.99665020161
3201260005,not available,15977.7571871029
3201260006,not available,12895.0928711656
3201260007,not available,1302.23261311434
3201260008,not available,16996.1744545982
3201260009,not available,15572.7040097315
3201260010,not available,2874.25894575163
3201260011,not available,2001.82154113253
3201260012,not available,23347.3701936619
3201260013,not available,2278.79292784978
3201260014,not available,5930.03283398082
3201270006,available,1474.5914955157
3201270009,available,975.87061701912
3201270010,not available,142733.356111965
3201270011,available,5702.89819548502
3201270012,not available,610.6559942861
3201270013,not available,2383.87642298451
3201270014,not available,771.17374331329
3201270015,available,2079.45930632796
3201270016,not available,4094.61065845779
3201270017,available,3091.02961471591
3201270018,available,9934.02174233261
3201270019,available,10874.1894640044
3201270020,not available,7634.55264967007
3201270021,available,6769.6662609067
3201270022,available,6819.10742288341
3201271001,not available,1238.41516453601
3201271002,not available,2908.32249896332
3201271003,not available,960.2006688351
3201271004,not available,1864.59063943719
3201271005,not available,1942.75556105798
3201271006,not available,936.62049359729
3201271007,not available,4231.76673443452
3201271008,not available,2566.55525516838
3201271009,not available,2265.79050770308
3201271010,not available,1313.36273181483
3201271011,not available,1426.77817273754
3201280003,available,3580.69767249381
3201280004,available,2430.14792337009
3201280005,available,1852.59975837213
3201280006,available,1821.66010250081
3201280007,available,2331.1032123835
3201280008,available,3149.586
3201280009,available,977.28936770619
3201280010,available,1212.12853705871
3201280011,available,849.46210302576
3201280012,available,2088.30250081685
3201280013,available,1118.30764794507
3201280014,available,799.22796248085
3201280015,available,1635.85809114973
3201280016,available,8524.15532898821
3201280017,available,3741.08152521408
3201280018,available,3093.50838746592
3201290001,not available,6151.78469843291
3201290002,not available,4834.54297966606
3201290003,not available,785.86482172857
3201290004,not available,40364.4756152121
3201290005,available,913.07899528033
3201290006,available,755.23186765335
3201290007,not available,2035.84313772472
3201290008,available,866.90203135992
3201290009,available,2182.90317244308
3201300001,not available,18444.1635095709
3201300002,not available,28853.299417547
3201300003,not available,1419.90447663619
3201300004,not available,2742.8391904408
3201300005,available,3263.23224280264
3201300006,not available,4148.26659739252
3201300007,available,10976.4019835859
3201300008,not available,1835.76778698459
3201300009,not available,3741.12684089255
3201300010,not available,6767.68725569189
3201300011,not available,3952.95349004538
3202010001,not available,3326.55627124883
3202010002,not available,117705.013467307
3202010003,not available,60337.5476747126
3202010004,available,2640.41207303688
3202010005,not available,1731.18102596166
3202010006,not available,1102.24766048075
3202010007,not available,977.56573858071
3202010008,not available,4781.08289997976
3202010009,not available,923.885589171
3202020001,not available,1982.77769265429
3202020002,not available,5945.06713161807
3202020003,not available,3463.83366617021
3202020004,not available,5934.87552100356
3202020005,not available,3842.54338995565
3202020006,not available,2540.1401080067
3202020007,not available,2649.78005316467
3202020008,not available,9629.19192456012
3202021001,available,4384.72528167979
3202021002,not available,749.57722004365
3202021003,not available,9460.03318794393
3202021004,not available,37049.6425109958
3202021005,not available,25304.1399291901
3202021006,not available,2716.4818573262
3202030001,not available,7931.63821785912
3202030002,not available,7043.75099834112
3202030003,not available,202930.996480909
3202030004,not available,532.22451903127
3202030011,not available,395.04001552496
3202030012,not available,37204.0160213888
3202030013,not available,12555.7517653353
3202030014,not available,3746.14081470284
3202030015,not available,4436.63051963071
3202030016,not available,3890.26192433409
3202030017,not available,1672.64220572681
3202030018,not available,438.8830857355
3202031001,not available,1163.26550149791
3202031002,not available,1737.91889649504
3202031003,not available,2510.5919101301
3202031004,not available,612.83211016934
3202031005,not available,1188.11733339399
3202031006,not available,1166.72472116995
3202040001,not available,1239.12098636791
3202040002,not available,1207.87232036333
3202040003,not available,637.66674474652
3202040004,not available,594.79480144315
3202040005,not available,1422.55985482087
3202040006,not available,2797.1523348622
3202040007,not available,607.81754940461
3202040008,not available,11716.0187947131
3202040013,not available,764.21248127314
3202040014,not available,44654.4846986577
3202040015,not available,20.69684491828
3202041001,not available,491.45074667283
3202041002,not available,1135.54771185823
3202041003,not available,44150.7512945985
3202041004,available,4706.90434693448
3202041005,available,1117.70859177275
3202041006,not available,3894.29792456633
3202050001,not available,2569.57198060166
3202050002,not available,4452.38901414122
3202050003,not available,4424.51542064821
3202050004,not available,703.93338820777
3202050005,not available,679.67483639617
3202050006,not available,3032.93608870924
3202050007,available,330.03987033668
3202060001,not available,2510.30123041657
3202060002,not available,2897.01209617306
3202060003,not available,2951.38753791364
3202060004,not available,1005.99164969252
3202060005,not available,475.68090683896
3202060006,not available,1258.12837487299
3202060007,not available,1049.21050220462
3202060008,not available,1957.49285675081
3202070001,not available,2127.05208678416
3202070002,not available,2045.87128238627
3202070003,not available,1827.54312031576
3202070004,not available,2444.26148257244
3202070005,not available,1831.57279149128
3202080005,not available,534.61568891313
3202080006,not available,513.4334675203
3202080007,not available,579.47083553189
3202080008,not available,4218.24509973046
3202080009,not available,575.84281486672
3202080010,not available,697.0190183874
3202080011,not available,885.60942375361
3202080012,not available,950.28160714919
3202080017,not available,4933.5816004833
3202080018,not available,2512.20334440945
3202080019,not available,345.46747137765
3202080020,not available,1910.17404114148
3202081001,not available,1731.9053742209
3202081002,not available,4016.3935240311
3202081003,not available,4246.44652994529
3202081004,not available,597.44462938528
3202081005,not available,902.57676831956
3202081006,not available,1412.10366081055
3202082001,not available,893.20958787757
3202082002,not available,8272.62126738262
3202082003,not available,1061.26393051106
3202082004,not available,2236.72956709277
3202082005,not available,1034.85814049146
3202082006,not available,5336.03417040837
3202082007,not available,499.33221903985
3202090001,not available,2864.31726807168
3202090002,not available,994.58249924033
3202090003,not available,508.91833502839
3202090004,not available,2642.56553918646
3202090005,not available,2121.75045942224
3202090006,not available,7270.04449556671
3202090007,not available,2806.73627751183
3202100001,not available,2751.69436101154
3202100002,not available,2686.64194334764
3202100003,not available,3979.87625167984
3202100004,not available,3796.90340965928
3202100005,not available,41492.5908437063
3202110005,not available,9944.26639098923
3202110006,not available,3732.10346228379
3202110007,available,80364.230545679
3202110008,available,282.09976342039
3202110009,not available,503.5508597539
3202110010,not available,2903.64376951395
3202110011,available,991.18078976138
3202110012,available,444.72908431477
3202110013,not available,24251.8278180586
3202110014,available,312.89243645885
3202111001,not available,3217.78603896458
3202111002,available,3405.30842366618
3202111003,not available,3970.85179980846
3202111004,not available,9112.44272569395
3202111005,available,600.16810926985
3202111006,not available,1674.87367045864
3202111007,not available,1187.96465675987
3202120002,not available,314.80618636677
3202120003,not available,1151.11902299127
3202120004,not available,512.57302480485
3202120005,not available,701.92450937815
3202120006,not available,794.83291520319
3202120007,not available,4552.98513632291
3202120008,not available,636.21910183684
3202120009,not available,63928.8520778048
3202120010,not available,366.00023214132
3202120011,not available,295.42653755332
3202120012,not available,242.53310861863
3202120013,not available,646.89542570138
3202121001,not available,391.18910855298
3202121002,not available,3974.62259265233
3202121003,not available,3333.11088740175
3202121004,not available,171.12541412758
3202121005,not available,2459.45167764488
3202121006,not available,136.40387297825
3202121007,available,3573.8501559828
3202130001,not available,2338.13474502745
3202130009,not available,1170.80307513628
3202130010,not available,5192.24048114133
3202130011,not available,552.3664628338
3202130012,not available,2190.1568428824
3202130013,not available,1181.60086173357
3202130014,not available,49.30350766507
3202130015,not available,464.0418820862
3202130016,not available,5075.40028902597
3202130017,not available,5084.77014598136
3202130018,available,5783.65015165437
3202131001,not available,1626.91008978206
3202131002,not available,2013.04985142549
3202131003,not available,1973.44258418884
3202131004,not available,64837.9002738197
3202131005,available,2491.90180946385
3202131006,not available,326.89909416806
3202131007,not available,5322.49472662811
3202140001,not available,429.21470559095
3202140002,not available,5960.1460377087
3202140003,not available,146587.252066666
3202140004,not available,4243.7119809816
3202140005,not available,2575.90519217753
3202140006,not available,11440.9162750597
3202140007,not available,9848.21754634146
3202140008,not available,6311.5448152182
3202140009,not available,1080.75447624019
3202140010,not available,1751.1774696009
3202150001,not available,3463.28491919612
3202150002,not available,1123.01984135816
3202150003,available,14836.2693062849
3202150004,not available,1595.48701400439
3202150005,not available,718.89274141306
3202150006,not available,5757.77848818361
3202150007,available,6164.83139950574
3202150008,not available,5806.32551838938
3202150009,not available,1121.95330391905
3202150010,not available,841.09782414493
3202160001,not available,4608.1009006633
3202160002,not available,45074.9955316883
3202160003,not available,1865.83847527528
3202160004,not available,1095.19537101886
3202160005,not available,1183.9115821997
3202160006,not available,5257.6878932393
3202160007,not available,1330.73756821627
3202170011,available,2717.81423510528
3202170012,available,6486.39392523365
3202170013,available,5216.31111096932
3202170014,not available,2199.40794649671
3202170015,available,1109.11112354313
3202170016,not available,2673.83701686977
3202170017,available,1701.03360306877
3202170018,not available,2599.52851128435
3202170021,available,2238.34554003418
3202171001,available,33390.191819465
3202171002,not available,3290.85297168552
3202171003,not available,2745.35417220751
3202171004,not available,3519.91348797376
3202171005,not available,2199.57910772877
3202172001,not available,2124.24864839871
3202172002,not available,2335.08308435241
3202172003,not available,94801.8770629629
3202172004,not available,788.36739131676
3202172005,not available,1425.96037820789
3202173001,not available,1125.59254289079
3202173002,not available,1701.2554793797
3202173003,not available,30138.422822056302
3202173004,not available,3949.14134591923
3202173005,not available,1708.31391207408
3202173006,available,2301.99555750456
3202180001,not available,4024.32519444113
3202180002,not available,5032.98881115416
3202180003,available,3411.25003162289
3202180004,available,12783.8457173516
3202180005,available,2636.9666774255
3202180006,not available,8574.75178323677
3202190001,not available,3600.38864723765
3202190002,not available,3449.474153043
3202190003,not available,4179.02253697704
3202190004,not available,10949.9423320991
3202190005,not available,3581.29406985268
3202190006,not available,831.47824827506
3202190007,not available,6984.69557518248
3202190008,not available,790.64300775311
3202190009,not available,544.67225628152
3202200007,available,2419.32390434075
3202200008,available,5919.35035726131
3202200009,not available,36469.2505785267
3202200010,available,9394.21001008284
3202200011,not available,8990.41249992007
3202200012,not available,6724.40755975072
3202200013,available,4997.18747065798
3202200014,not available,45478.593438797
3202200015,not available,2823.1026698532
3202200016,not available,3714.84768270423
3202200017,not available,4553.66840388171
3202200018,not available,4177.01956265906
3202200019,not available,4180.21682869029
3202201001,not available,1720.15985717162
3202201002,available,2006.63832960501
3202201003,available,3162.53991113625
3202201004,available,2414.96657301233
3202201005,not available,3397.52221724813
3202201006,available,1635.91206376025
3202201007,not available,4154.46173417019
3202210001,not available,5502.02658603629
3202210002,available,545.87081034394
3202210003,available,1602.11116061377
3202210009,not available,26745.7442366359
3202210010,available,3121.07085180428
3202210011,available,5458.90092364625
3202210012,available,624.0609451411
3202210013,available,7563.58332383433
3202210014,available,1507.10739624259
3202210015,not available,30975.4107081005
3202211001,available,5602.66133966581
3202211002,available,2330.99189709327
3202211003,available,2954.1650438894
3202211004,available,4864.10121878146
3202211005,available,2786.5691893045
3202211006,available,2772.39229167313
3202211007,available,21623.5731143952
3202211008,available,846.71716652863
3202212001,available,1794.17726571559
3202212002,available,2550.58639962256
3202212003,not available,3550.15066611417
3202212004,not available,3488.85244379182
3202212005,available,2925.85488534739
3202212006,not available,18333.2673448466
3202212007,not available,691.01714538846
3202212008,not available,1097.32413191174
3202212009,not available,915.05478815494
3202220001,not available,2618.75444462901
3202220002,available,2733.32996675022
3202220003,not available,292831.609975714
3202220004,not available,2363.30130097101
3202220005,not available,7630.67444640434
3202220006,not available,1562.3894576404
3202220007,not available,2210.66208471091
3202220008,not available,1338.31933471094
3202220009,not available,5456.96797258976
3202220010,not available,701.41387027607
3202221001,not available,8480.76961209663
3202221002,not available,1103.66461064964
3202221003,not available,6663.03684416309
3202221004,not available,753.78470591942
3202221005,not available,1227.03828336323
3202221006,not available,1240.0130084139
3202230001,available,7069.32294225152
3202230002,not available,5035.63347065716
3202230003,not available,1333.44101632631
3202230004,available,1942.70495721976
3202230005,not available,3777.09483851227
3202230006,available,953.4458487518
3202230007,not available,1050.96316393869
3202230008,available,1418.42537321174
3202230009,available,8623.77102
3202230010,available,969.44173455209
3202230011,available,4726.69955995195
3202230012,not available,4686.56987846402
3202230013,not available,2571.60848535524
3202240001,not available,1895.35878125551
3202240002,not available,2738.3237598748
3202240003,available,4844.27861743847
3202240004,not available,1954.30932035974
3202240005,not available,1109.25812108029
3202240006,not available,1919.6718052203
3202240007,not available,1450.51628953837
3202240008,not available,1021.7319134062
3202250001,not available,791.97413103111
3202250002,available,5855.77823185515
3202250003,available,2279.2964364015
3202250004,not available,1692.87388061637
3202250005,not available,1588.10246365302
3202250006,not available,3800.94080000663
3202260002,available,879.44421005827
3202260003,not available,2917.11422025555
3202260004,not available,3864.82397161017
3202260008,not available,14143.462212795701
3202260009,not available,3607.50873025709
3202260010,not available,2315.25835437886
3202260011,not available,2933.18811856945
3202260012,not available,3259.43463001787
3202261001,not available,667.46731448492
3202261002,not available,1707.14711594831
3202261003,not available,549.67765606755
3202261004,not available,1888.27722630352
3202261005,not available,15612.3047534955
3202270001,not available,338.79255213317
3202270002,available,876.47945202624
3202270003,not available,676.32372518497
3202270004,not available,644.30720244094
3202270005,available,756.32369184263
3202270006,available,437.95741633246
3202270007,available,5587.22519170569
3202280001,not available,18890.3508244155
3202280002,not available,1348.86840521287
3202280003,not available,793.86661338516
3202280004,not available,790.07566079981
3202280005,not available,4310.44209274942
3202280006,not available,13764.3176602654
3202280007,not available,2221.82257047962
3202280008,not available,7335.37126260125
3202280009,not available,3590.97176324324
3202280010,not available,4482.30202800505
3202280011,not available,4686.74110142206
3202280012,not available,21675.0670076262
3202290001,available,7115.44294569832
3202290002,not available,891.64554526702
3202290003,available,1681.26400083311
3202290004,not available,1104.10729385311
3202290012,not available,903.5675237318
3202290013,not available,1748.07847818626
3202290014,not available,594.26248416348
3202290015,available,2887.10410392099
3202290016,available,2821.92623702703
3202290017,available,6052.11127666381
3202290018,not available,2267.14991740608
3202290019,not available,857.26952460681
3202290020,not available,884.5484584389
3202291001,not available,895.01186711057
3202291002,not available,2042.95257742751
3202291003,not available,818.8890440235
3202291004,not available,565.08341997057
3202291005,not available,686.50877423375
3202291006,not available,2093.3958509282
3202291007,available,815.29221288112
3202291008,not available,245.78498947094
3202291009,not available,2360.44059951559
3202300001,not available,461.47872525754
3202300002,not available,482.45551257749
3202300003,not available,2107.92451092277
3202300004,available,2324.28121319661
3202300005,not available,3716.78262958435
3202300006,not available,239.47539167431
3203010001,not available,1956.8896697619
3203010002,not available,1259.15483085969
3203010003,not available,3217.90584007321
3203010004,not available,5504.07156634093
3203010007,not available,336.64316972603
3203010008,not available,311.04999412535
3203010009,not available,1949.5384688992
3203010010,not available,3690.36346174321
3203010011,not available,2430.8452899974
3203010012,not available,4058.38935501326
3203010013,not available,1770.85285549117
3203011001,not available,924.3545483928
3203011002,not available,706.97548872142
3203011003,not available,28908.5408465035
3203011004,not available,622.65361858851
3203011005,not available,4561.02048946413
3203011006,not available,3644.64999099512
3203011007,not available,5066.77307489716
3203011008,not available,5047.14951550615
3203011009,not available,1610.57761813823
3203011010,not available,40469.3912936448
3203011011,not available,465.00862956937
3203011012,not available,864.7058274884
3203020001,not available,3646.98864547335
3203020002,not available,2404.6965640559
3203020003,not available,5353.17319434281
3203020004,not available,7768.16097606417
3203020005,not available,5214.70859071856
3203020006,not available,7788.53174037559
3203020007,not available,6924.7199892041
3203020008,not available,3195.42555959072
3203020009,not available,481.9687661071
3203020010,not available,738.02781627485
3203020011,not available,536.96544797335
3203030001,not available,2367.32111257403
3203030002,not available,9931.09487200772
3203030003,not available,6955.67816291174
3203030004,not available,6174.42945590056
3203030005,available,1693.79544172619
3203030006,not available,4129.24396734968
3203030007,not available,2222.29867125685
3203030008,not available,877.74644352201
3203030009,not available,475.08304121387
3203030010,not available,1385.23227227368
3203030011,not available,1564.83294882843
3203030012,not available,2880.64044578358
3203030013,not available,955.39916602899
3203030014,not available,1427.37563221318
3203040001,available,1761.87707782108
3203040002,not available,1789.06536939891
3203040003,available,579.01090780269
3203040004,not available,6401.20197940218
3203040005,not available,1259.09934002869
3203040006,not available,1055.22396875192
3203040007,not available,2359.62468503055
3203040008,not available,2002.77789758808
3203040009,not available,1506.65402757059
3203040010,available,1611.52824763554
3203040011,not available,1555.88166267857
3203050001,not available,3009.17772122057
3203050002,not available,2065.96458045641
3203050003,not available,479.09574857421
3203050004,not available,4564.60637611315
3203050005,not available,4028.69899134021
3203050006,not available,4000.62769995501
3203050007,not available,3388.41043071916
3203050008,not available,3109.93232212423
3203050009,not available,3042.52554000477
3203050015,not available,7218.29115150649
3203050016,not available,6299.53705964741
3203050020,not available,927.81948332223
3203050021,not available,192.73266159811
